ean;name;quantity;sector;type;size
2501504920545;LUVA TERMICA LATEX TAM- G CORAL DANNY;0;EPI;LUVA;G
2501504920538;LUVA TERMICA LATEX TAM-M CORAL DANNY;0;EPI;LUVA;M
2501504920552;LUVA TERMICA LATEX TAM-P CORAL DANNY;0;EPI;LUVA;P
2501504920569;LUVA TERMICA LATEX TAM-XG CORAL DANNY;0;EPI;LUVA;XG
2501504920262;LUVA TERMICA POWERFLEX 80-400 TM-9;0;EPI;LUVA;9
2501504920118;LUVA TERMICA SOTF 40CM RRA;0;EPI;LUVA;40
7898207213308;LUVA THERMA GRIP VOLK BRASIL;0;EPI;LUVA;
2501504920637;LUVA VAQUETA PETROLEIRA MSL TM-G;0;EPI;LUVA;G
2501504920897;LUVA VAQUETA PETROLEIRA FENA;0;EPI;LUVA;
7894854021010;LUVA VAQUETA PETROLEIRA SOFT TM- 9;0;EPI;LUVA;9
1201758985;LUVA VAQUETA PUNHO RASPA 20 CM PROCIPA;0;EPI;LUVA;
2501504920590;MANGOTE LONA C/ELÁSTICO MARSEG;0;EPI;MANGOTE;
2501504920170;MANGOTE LONA MG04-E M MARTINS & SA;0;EPI;MANGOTE;
7891040246601;MASCARA DE PROTECAO RESPIRATORIA PPF-2 9820BR 3M;0;EPI;MASCARA;
2501504920743;MASCARA DE SOLDA CELERON VISOR ARTICULADO;0;EPI;MASCARA;
7891040132195;MASCARA DESCARTAVEL 8822 PFF-2 3M SEM VÁLVULA;0;EPI;MASCARA;
2501504920873;MEIA ALGODAO TERMICA BRANCA BRASIL SAFETY;0;EPI;MEIA;
2501504920033;MEIAO BRANCO P/CAMARA FRIA MEACR BRASIL SAFETY;0;EPI;MEIAO;
2501504920507;MEIAO TERMICO FRIGO. NAPOLI;0;EPI;MEIAO;
7898524002524;OCULOS ACQUA CINZA XV101-BR HONEYWELL;0;EPI;OCULOS;
7898524002517;OCULOS ACQUA INCOLOR XV100-BR HONEYWELL;0;EPI;OCULOS;
7790652000222;OCULOS ARGON IN HC 900499-IC LIBUS;0;EPI;OCULOS;
7898390940265;OCULOS DE SEGURANCA JAGUAR KALIPSO;0;EPI;OCULOS;
7898936784124;OCULOS DE SEGURANCA RJ-INCOLOR B-1 POLI-FERR;0;EPI;OCULOS;
7898489558050;OCULOS DE SOBREPOR INCOLOR PROVISION CARBOGRAFITE;0;EPI;OCULOS;
7896353820197;OCULOS FENIX INCOLOR DA-14500 DANNY;0;EPI;OCULOS;
7898161062486;OCULOS SPECTRA 2000 INCOLOR CARBOGRAFITE;0;EPI;OCULOS;
2501504920736;PERNEIRA DE RASPA PRO3-B 36CM C/VELCRO;0;EPI;PERNEIRA;36
7891040121625;PROTETOR AURICULAR POMP PLUS SILICONE 3M;0;EPI;PROTETOR;
7891040026098;RESPIRADOR DESCARTAVEL COM VALVULA REF. 8822 PFF-2 3M;0;EPI;RESPIRADOR;
7891040205035;RESPIRADOR SEMIFACIAL SERIE 6200 TM-M 3M;0;EPI;RESPIRADOR;
